rank,ticker,rating,score,price_target,time_horizon,report_path,executive_summary
1,IBM,Overweight,4,267.0,3-6 months,reports/yahoo_watchlist_full_20260527_223947/reports/IBM_2026-05-27.md,"Rate IBM Overweight and build exposure gradually rather than chase near-term strength. Initiate or add in tranches sized to a moderate overweight, favoring pullbacks toward the 50 SMA / intermediate support, with a stop or reassessment trigger if IBM loses that support, volatility expands further, or free-cash-flow conversion/narrative follow-through deteriorates. Keep position sizes below a full high-conviction Buy because leverage remains meaningful and the long-term chart is still below the 200 SMA. Time horizon is 3-6 months."
2,AMAT,Overweight,4,500.0,3-6 months,reports/yahoo_watchlist_full_20260527_223947/reports/AMAT_2026-05-27.md,"AMAT merits a modest overweight, but implementation should be staged rather than chased. Add in increments on pullbacks toward the 430/418 support area, cap initial exposure around the proposed 3-5% portfolio weight, and reassess if cash-flow conversion or order trends weaken. Use a risk stop on a decisive break below the 50-day area near 391, with a 3-6 month horizon tied to continued earnings and AI/advanced-packaging execution."
3,NFLX,Overweight,4,125.0,3-6 months,reports/yahoo_watchlist_full_20260527_223947/reports/NFLX_2026-05-27.md,"Overweight NFLX, but build exposure in tranches rather than chase. Start or maintain a moderate 3%–5% position, add on either a reclaim of the 88.5–89.0 area or further weakness that holds key support near 87, and avoid sizing it as a top-conviction position until technicals improve. Use a 3–6 month horizon, with risk controls around a clean break below support and discipline given premium valuation."
4,NOW,Overweight,4,,3-6 months,reports/yahoo_watchlist_full_20260527_223947/reports/NOW_2026-05-27.md,"Overweight NOW, but build the position gradually in 3%–6% tranches rather than chasing strength. Start with an initial allocation now, add only if NOW sustains its technical repair above recent recovery levels and the next earnings/guidance cycle confirms growth and free-cash-flow durability. Reassess if NOW loses the recovery trend, guidance weakens, AI monetization stalls, or software-sector de-rating reaccelerates. Time horizon is 3–6 months."
5,TEAM,Overweight,4,,3-6 months,reports/yahoo_watchlist_full_20260527_223947/reports/TEAM_2026-05-27.md,"Increase exposure to TEAM gradually through tranche-based entries centered near 85 and on pullbacks that hold the mid-80s support/50-day area. Keep sizing at a moderate overweight, below high-conviction max, with a 3-6 month horizon; add only if TEAM reclaims the upper 80s/low 90s with improving momentum, and reduce or pause if it loses mid-80s support decisively."
6,INTU,Overweight,4,400.0,6-12 months,reports/yahoo_watchlist_full_20260527_223947/reports/INTU_2026-05-27.md,"Increase exposure to INTU gradually in tranches rather than chase an immediate rebound. Start or add with a moderate overweight position, roughly 2-4% initially, and scale only as price action stabilizes; reassess if weakness broadens beyond lower-income DIY tax, assisted/SMB trends soften, or restructuring creates execution slippage. Use the damaged chart as a reason for staggered entries and strict review points, not for full-size aggression, with a medium-term horizon."
7,CRM,Overweight,4,195.0,3-6 months,reports/yahoo_watchlist_full_20260527_223947/reports/CRM_2026-05-27.md,"Overweight CRM, but build the position gradually rather than chase immediate strength. Start with a partial allocation and add in tranches on pullbacks or if CRM reclaims the 50-day/resistance near 181-183; keep sizing at a medium overweight with a 3-6 month horizon. Risk controls should focus on recent support and on any deterioration in revenue guidance, bookings, or evidence that Agentforce monetization is failing to materialize."
8,SNOW,Overweight,4,,3-6 months,reports/yahoo_watchlist_full_20260527_223947/reports/SNOW_2026-05-27.md,"Overweight SNOW with staged accumulation rather than chasing the post-earnings surge. Build toward roughly 1.25x to 1.5x benchmark weight on pullbacks or consolidation, using the 170-172 area and then 165-166 as key support/reference levels; pause adds if SNOW loses the breakout zone or momentum deteriorates. Time horizon is medium term, with more aggressive adding only if SNOW continues to hold above the reclaimed 50-day and starts repairing toward the 200-day."
9,PYPL,Hold,3,,3-6 months,reports/yahoo_watchlist_full_20260527_223947/reports/PYPL_2026-05-27.md,"Maintain PYPL at a moderate position today rather than adding aggressively into a still-broken trend. If initiating or increasing exposure, do so only in small staged tranches—roughly one-third of intended size on weakness—and add only if PYPL reclaims the VWMA/10 EMA and especially the 50 SMA near 46.61 with stable margins and free cash flow. Reassess on a break below the 43.8–44.0 support area or if results show renewed margin compression or free-cash-flow deterioration. Time horizon is medium term, with accumulation contingent on clearer stabilization."
10,PLTR,Underweight,2,,3-6 months,reports/yahoo_watchlist_full_20260527_223947/reports/PLTR_2026-05-27.md,"For PLTR, maintain or shift to a modest underweight rather than adding new capital at current levels. Keep position sizing below benchmark at roughly 50-75% of benchmark weight, and for existing holders use strength toward key resistance near the 50-day moving average to trim exposure; avoid chasing until PLTR either offers a materially better entry or reclaims and holds above major trend levels. Key risk is valuation-driven multiple compression if growth moderates, with a 3-6 month evaluation window for trend confirmation."
